ID,Begin,End,Capital,Lat,Lon
SEY_1976,19760629,20261231,Victoria,-4.623055556,55.4525
SEY_1814_UK,18410101,19760629,Victoria,-4.623055556,55.4525
SEY_1814_UK,18140430,18410101,L'Etablissement,-4.623055556,55.4525
SEY_1756_FRA,17780101,18140430,L'Etablissement,-4.623055556,55.4525
SEY_1756_FRA,17561101,17780101,,,
ANG_1975,19751111,20261231,Luanda,-8.838333333,13.23444444
ANG_1891_POR,18910611,19751111,Luanda,-8.838333333,13.23444444
DRC_1960,19660530,20261231,Kinshasa,-4.321944444,15.31194444
DRC_1960,19600630,19660530,Leopoldville,-4.321944444,15.31194444
CON_1908_BEL,19230101,19600630,Leopoldville,-4.321944444,15.31194444
CON_1908_BEL,19081115,19230101,Boma,-5.85,13.05
CON_1885,18860501,19081115,Boma,-5.85,13.05
CON_1885,18850701,18860501,Vivi,-5.7936,13.4812
CAM_1961,19611001,20261231,Yaounde,3.866388889,11.52055556
CAM_1916_UK,19160720,19611001,Buea,4.166666667,9.233333333
CAM_1916_FRA,19160720,19600101,Yaounde,3.866388889,11.52055556
CAM_1884_GER,18840817,19160720,Jaunde,3.866388889,11.52055556
NAM_1990,19900321,20261231,Windhoek,-22.57,17.08361111
SWA_1915_SA,19150709,19900321,Windhoek,-22.57,17.08361111
SWA_1884_GER,18840807,19150709,Windhuk,-22.57,17.08361111
BOT_1966,19660930,20261231,Gabarone,-24.65805556,25.91222222
BOT_1885_UK,19650101,19660930,Gabarone,-24.65805556,25.91222222
BOT_1885_UK,18850331,19650101,Mafikeng,-25.86555556,25.64361111
SAF_1910,19100531,20261231,Pretoria,-25.74611111,28.18805556
ESW_1968,19680924,20261231,Mbabane,-26.5,31.5
ESW_1903_UK,19030101,19680924,Mbabane,-26.5,31.5
NAT_1843_UK,18430504,19100531,Pietermaritzburg,-29.61666667,30.38333333
LES_1966,19661004,20261231,Maseru,-29.315,27.48694444
LES_1884_UK,18840318,19661004,Maseru,-29.315,27.48694444
CAP_1806_UK,18060108,19100531,Cape Town,-33.92527778,18.42388889
TRV_1902_UK,19020531,19100531,Pretoria,-25.74611111,28.18805556
OFS_1902_UK,19020531,19100531,Bloenfontein,-29.11666667,26.21666667
ZAM_1964,19641024,20261231,Lusaka,-15.41666667,28.28333333
ZAM_1963_UK,19631231,19641024,Lusaka,-15.41666667,28.28333333
CAF_1953_UK,19530801,19631231,Salisbury,-17.9925,31.05222222
ZAM_1924_UK,19350101,19530801,Lusaka,-15.41666667,28.28333333
ZAM_1924_UK,19240401,19350101,Livingstone,-17.85,25.86666667
ZIM_1980,19820418,20261231,Harare,-17.9925,31.05222222
ZIM_1980,19800418,19820418,Salisbury,-17.9925,31.05222222
ZIM_1963_UK,19631231,19800418,Salisbury,-17.9925,31.05222222
ZIM_1923_UK,19230912,19530801,Salisbury,-17.9925,31.05222222
MOZ_1975,19760201,20261231,Maputo,-25.96666667,32.58333333
MOZ_1975,19750625,19760201,Lourenço Marques,-25.96666667,32.58333333
MOZ_1891_POR,18980101,19750625,Lourenço Marques,-25.96666667,32.58333333
MOZ_1891_POR,18910611,18980101,Cidade de Pedra,-15.0325,40.73638889
TAN_1964,19741012,20261231,Dodoma,-6.173055556,35.74194444
TAN_1964,19640426,19741012,Dar es Salaam,-6.816111111,39.28027778
TAN_1961,19611209,19640426,Dar es Salaam,-6.816111111,39.28027778
ZAN_1963,19640112,19640426,Zanzibar City,-6.165,39.199
ZAN_1890_UK,18901201,19631210,Stone Town,-6.1625,39.19138889
ZAN_1963,19631210,19640112,Stone Town,-6.1625,39.19138889
ZAN_1856,18560406,18901201,Stone Town,-6.1625,39.19138889
TAN_1916_UK,19160904,19611209,Dar es Salaam,-6.816111111,39.28027778
MAD_1960,19600626,20261231,Antananarivo,-18.92361111,47.53222222
MAD_1882_FRA,19581014,19600626,Tananarive,-18.92361111,47.53222222
MAD_1882_FRA,18970228,19581014,Tananarive,-18.92361111,47.53222222
MAD_1882_FRA,18820101,18970228,Antananarivo,-18.92361111,47.53222222
MAD_1817,18170101,18820101,Antananarivo,-18.92361111,47.53222222
COM_1975,19750706,20261231,Moroni,-11.699,43.256
COM_1912_FRA,19120101,19750706,Moroni,-11.699,43.256
MTS_1968,19680312,20261231,Port Louis,-20.2,57.5
MTS_1810_UK,18101203,19680312,Port Louis,-20.2,57.5
MTS_1715_FRA,17150920,18101203,Port Louis,-20.2,57.5
MLW_1964,19750101,20261231,Lilongwe,-13.98333333,33.78333333
MLW_1964,19640706,19750101,Zomba,-15.38694444,35.31916667
MLW_1963_UK,19631231,19640706,Zomba,-15.38694444,35.31916667
MLW_1893_UK,18930101,19631231,Zomba,-15.38694444,35.31916667
RWA_1962,19620701,20261231,Kigali,-1.9525,30.115
BRN_1916_BEL,19160506,19620701,Usumbura,-6.816111111,39.28027778
GEA_1885_GER,18910101,19160904,Dar es Salaam,-6.816111111,39.28027778
GEA_1885_GER,18850227,18910101,Bagamayo,-6.444444444,38.90277778
BRN_1962,20190116,20261231,Gitega,-3.428333333,29.925
BRN_1962,19620701,20190116,Bujumbura,-3.383333333,29.36666667
KEN_1963,19631231,20261231,Nairobi,-1.286388889,36.81722222
KEN_1920_UK,19200723,19631231,Nairobi,-1.286388889,36.81722222
KEN_1895_UK,19050101,19200723,Nairobi,-1.286388889,36.81722222
KEN_1895_UK,18950701,19050101,Mombasa,-4.05,39.66666667
UGA_1962,19621009,20261231,Kampala,0.313611111,32.58111111
UGA_1894_UK,18940618,19621009,Entebbe,0.05,32.46
SUD_1956,19560101,20261231,Khartoum,15.6,32.5
SUD_1899_UK,18990619,19560101,Khartoum,15.6,32.5
SSU_2011,20110709,20261231,Juba,4.85,31.56666667
EGY_1961,19610929,20261231,Cairo,30.04444444,31.23583333
UAR_1958,19580222,19610929,Cairo,30.04444444,31.23583333
EGY_1922,19220228,19580222,Cairo,30.04444444,31.23583333
EGY_1914_UK,19141219,19220228,Cairo,30.04444444,31.23583333
EGY_1805_OTT,18050101,19141219,Cairo,30.04444444,31.23583333
LBY_1951,19511224,20261231,Tripoli,32.88722222,13.19138889
LBY_1943_UK,19430513,19511224,Tripoli,32.88722222,13.19138889
LBY_1943_FRA,19430513,19511224,Sabha,27.03888889,14.42638889
LBY_1934_ITA,19340101,19430513,Tripoli,32.88722222,13.19138889
CYR_1911_ITA,19111111,19340101,Bengasi,32.11666667,20.06666667
TRI_1911_ITA,19111111,19340101,Tripoli,32.88722222,13.19138889
TUN_1956,19560320,20261231,Tunis,36.80638889,10.18166667
TUN_1881_FRA,18810512,19560320,Tunis,36.80638889,10.18166667
ALG_1962,19620705,20261231,Algiers,36.7325,3.087222222
ALG_1830_FRA,18300705,19620705,Algiers,36.7325,3.087222222
MOR_1956,19560407,20261231,Rabat,34.02111111,-6.841388889
MOR_1912_FRA,19120330,19560407,Rabat,34.02111111,-6.841388889
SMO_1912_SPA,19121127,19560407,Tetuan,35.56666667,-5.366666667
WES_1884_SPA,19400101,19751114,El Aaiun,27.15,-13.19888889
WES_1884_SPA,18841226,19400101,Villa Cisneros,23.71666667,-15.95
REU_1946_FRA,19460319,20261231,Saint-Denis,-20.87888889,55.44805556
MYT_1841_FRA,18410101,20261231,Mamoudzou,-12.78055556,45.22777778
SPM_1814_FRA,18140530,20261231,Saint-Pierre,46.78166667,-56.17361111
EGY_1517_OTT,15170413,18050101,Cairo,30.04444444,31.23583333
TRI_1551_OTT,15510101,19111111,Tripoli,32.88722222,13.19138889
TUN_1574_OTT,15740101,18810512,Tunis,36.80638889,10.18166667
ALG_1516_OTT,15160101,18300705,Algiers,36.7325,3.087222222
BRA_1822,19600421,20261231,Brasilia,-15.78333333,-47.86666667
BRA_1822,18220907,19600421,Rio de Janeiro,-22.91111111,-43.20555556
BRA_1815,18210426,18220907,Lisbon,38.76666667,-9.15
BRA_1815,18151216,18210426,Rio de Janeiro,-22.91111111,-43.20555556
BRA_1549_POR,17630101,18151216,Rio de Janeiro,-22.91111111,-43.20555556
BRA_1549_POR,15490101,17630101,Salvador,-12.97472222,-38.47666667
URU_1825,18250825,20261231,Montevideo,-34.88333333,-56.16666667
URU_1817_BRA,18170120,18250825,Montevideo,-34.88333333,-56.16666667
UPR_1810,18100525,18160709,Buenos Aires,-34.60388889,-58.38138889
UPR_1776_SPA,17760801,18100525,Buenos Aires,-34.60388889,-58.38138889
PAR_1811,18110514,20261231,Asuncion,-25.26666667,-57.66666667
ARG_1816,18160709,20261231,Buenos Aires,-34.60388889,-58.38138889
FLK_1833_UK,18330103,20261231,Stanley,-51.69527778,-57.84944444
BOL_1825,18980101,20261231,La Paz,-16.49583333,-68.13333333
BOL_1825,18250806,20261231,Sucre,-19.0475,-65.26
CHL_1818,18180212,20261231,Santiago,-33.43333333,-70.66666667
CHL_1541_SPA,15410101,18180212,Santiago,-33.43333333,-70.66666667
PER_1821,18210728,20261231,Lima,-12.04333333,-77.02833333
PER_1542_SPA,15421120,18210728,Lima,-12.04333333,-77.02833333
ECU_1830,18300503,20261231,Quito,-0.22,-78.51194444
COL_1819,18630508,20261231,Bogota,4.583333333,-74.06666667
COL_1819,18191217,18630508,Santafé de Bogota,4.583333333,-74.06666667
COL_1717_SPA,17170527,18191217,Santafé de Bogota,4.583333333,-74.06666667
VEN_1830,18300113,20261231,Caracas,10.50611111,-66.91444444
GUY_1966,19660526,20261231,Georgetown,6.801111111,-58.155
GUI_1831_UK,18310721,19660526,Georgetown,6.801111111,-58.155
SUR_1975,19751125,20261231,Paramaribo,5.833333333,-55.16666667
SUR_1954_NET,19541215,19751125,Paramaribo,5.833333333,-55.16666667
GUI_1667_NET,16670731,19541215,Paramaribo,5.833333333,-55.16666667
FGU_1643_FRA,16430926,20261231,Cayenne,4.937222222,-52.32611111
