ID,Begin,End,Map
MAD_1817,18170101,18820101,Madagascar
COM_1975,19750706,20261231,Comoros
COM_1912_FRA,19120101,19750706,Comoros
MTS_1968,19680312,20261231,Mauritius
MTS_1810_UK,18101203,19680312,Mauritius
MTS_1715_FRA,17150920,18101203,Mauritius
MLW_1964,19640706,20261231,Malawi
MLW_1963_UK,19631231,19640706,Malawi
MLW_1893_UK,18930101,19631231,Malawi
RWA_1962,19620701,20261231,Rwanda
BRN_1916_BEL,19160506,19620701,Rwanda
GEA_1885_GER,18850227,19160904,TanRwaBur
BRN_1962,19620701,20261231,Burundi
KEN_1963,19631231,20261231,Kenya
KEN_1920_UK,19200723,19631231,Kenya
KEN_1895_UK,18950701,19200723,Kenya
UGA_1962,19621009,20261231,Uganda
UGA_1894_UK,18940618,19621009,Uganda
SUD_1956,20110709,20261231,NorthSudan
SUD_1956,19560101,20110709,NorthSudanSouthSudan
SUD_1899_UK,18990619,19560101,NorthSudanSouthSudan
SSU_2011,20110709,20261231,SouthSudan
EGY_1961,19610929,20261231,Egypt
UAR_1958,19580222,19610929,EgyptSyria
EGY_1922,19220228,19580222,Egypt
EGY_1914_UK,19141219,19220228,Egypt
EGY_1805_OTT,18050101,19141219,Egypt
LBY_1951,19511224,20261231,Libya
LBY_1943_UK,19430513,19511224,TripCyr
LBY_1943_FRA,19430513,19511224,Fezzan
LBY_1934_ITA,19340101,19430513,Libya
CYR_1911_ITA,19111111,19340101,Cyrenaica
TRI_1911_ITA,19111111,19340101,TripFez
TUN_1956,19560320,20261231,Tunisia
TUN_1881_FRA,18810512,19560320,Tunisia
ALG_1962,19620705,20261231,Algeria
ALG_1830_FRA,18300705,19620705,Algeria
MOR_1956,19560407,20261231,RumpMoroccoSpanishMorocco
MOR_1912_FRA,19120330,19560407,RumpMorocco
SMO_1912_SPA,19121127,19560407,SpanishMorocco
WES_1884_SPA,18841226,19751114,WesternSahara
WES_1975,19751114,20261231,WesternSahara
REU_1946_FRA,19460319,20261231,Reunion
MYT_1841_FRA,18410101,20261231,Mayotte
EGY_1517_OTT,15170413,18050101,Egypt
TRI_1551_OTT,15510101,19111111,Libya
TUN_1574_OTT,15740101,18810512,Tunisia
ALG_1516_OTT,15160101,18300705,Algeria
BRA_1822,18220907,20261231,ModernBrazil
BRA_1815,18151216,18220907,ModernBrazil
BRA_1549_POR,15490101,18151216,ModernBrazil
URU_1825,18250825,20261231,ModernUruguay
URU_1817_BRA,18170120,18250825,ModernUruguay
UPR_1810,18110514,18160709,Ar2Bo2Uru
UPR_1810,18100525,18110514,Ar2Bo2ParUru
UPR_1776_SPA,17760801,18100525,Ar2Bo2ParUru
PAR_1811,18110514,20261231,ModernParaguay
ARG_1816,18830101,20261231,ModernArgentina
ARG_1816,18250806,18830101,RumpArgentina
ARG_1816,18170120,18250806,Ar2Bo2
ARG_1816,18160709,18170120,Ar2Bo2Uru
FLK_1833_UK,18330103,20261231,Falklands
BOL_1825,18830101,20261231,ModernBolivia
BOL_1825,18250806,18830101,SeaBolivia
CHL_1818,18830101,20261231,ModernChile
CHL_1818,18180212,18830101,RumpChile
CHL_1541_SPA,15410101,18180212,RumpChile
PER_1821,18210728,20261231,ModernPeru
PER_1542_SPA,17760801,18210728,ModernPeru
PER_1542_SPA,17170527,17760801,Ar2Bo2PerParUru
PER_1542_SPA,15421120,17170527,VicePeru
ECU_1830,18300503,20261231,ModernEcuador
COL_1819,19031106,20261231,ModernColombia
COL_1819,18300503,19031106,ColombiaPanama
